time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(meters),height_above_ground_at_drone_location(meters),ground_elevation_at_drone_location(meters),altitude_above_seaLevel(meters),height_sonar(meters),speed(m/s),distance(meters),mileage(meters),satellites,gpslevel,voltage(v),max_altitude(meters),max_ascent(meters),max_speed(m/s),max_distance(meters), xSpeed(m/s), ySpeed(m/s), zSpeed(m/s), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(c),altitude(meters),ascent(meters),flycStateRaw,flycState,message
0,2026-01-27 15:27:14,60.1304596,24.5154963,0.545,0.545,16.1022892,16.6472892,0,0.0210238,0,0,23,87,0,16.6472892,0.545,0.0210238,0,0,0,0.1,214.9, 0, -0.2,0,0,1024,1024,1689,1024,0,0,100,0,216.83,0,0,61,,,,,,,0,17.6,16.6472892,0.545,6,P-GPS,
200,2026-01-27 15:27:14,60.1304596,24.5154962,0.794,0.794,16.1022892,16.8962892,0,0.0354683,0.00553836,0.00553836,23,87,0,16.8962892,0.794,0.0354683,0.00553836,0,0,0.1,214.9, 0.7, -0.3,0,0,1024,1024,1689,1024,0,0,100,0,216.58,0,0,61,,,,,,,0,17.6,16.8962892,0.794,6,P-GPS,
400,2026-01-27 15:27:14,60.1304596,24.515496,1.091,1.091,16.1022892,17.1932892,0,0.0126491,0.0166151,0.0166151,23,87,0,17.1932892,1.091,0.0354683,0.0166151,0,0,0.2,215, 0.9, -0.6,0,0,1024,1024,1689,1024,0,0,100,0,216.58,0,0,61,,,,,,,0,17.6,17.1932892,1.091,6,P-GPS,
600,2026-01-27 15:27:15,60.1304596,24.5154961,1.461,1.461,16.1022892,17.5632892,0,0.0494975,0.0110767,0.0221534,23,86,0,17.5632892,1.461,0.0494975,0.0166151,0,0,0.2,214.9, 0.1, -0.2,0,0,1024,1024,1689,1024,0,0,100,0,216.58,0,0,61,,,,,,,0,17.6,17.5632892,1.461,6,P-GPS,
800,2026-01-27 15:27:15,60.1304597,24.5154962,1.958,1.958,16.1022892,18.0602892,0,0.0467547,0.0124234,0.0345769,23,86,0,18.0602892,1.958,0.0494975,0.0166151,0,0,0.3,215, -0.8, -0.3,0,0,1024,1024,1689,1024,0,0,100,0,216.58,0,0,61,,,,,,,0,17.6,18.0602892,1.958,6,P-GPS,
1000,2026-01-27 15:27:15,60.1304597,24.5154963,2.643,2.643,16.1022892,18.7452892,0,0.0210238,0.0111206,0.0401152,23,95,14.673,18.7452892,2.643,0.0494975,0.0166151,0,0,0.4,215, -1.1, -0.1,0,0,1024,1024,1689,1024,0,0,100,0,216.58,0,0,61,,,,,,,15.308,17.6,18.7452892,2.643,6,P-GPS,
1200,2026-01-27 15:27:15,60.1304597,24.5154963,2.643,2.643,16.1022892,18.7452892,0,0.0210238,0.0111206,0.0401152,23,95,14.673,18.7452892,2.643,0.0494975,0.0166151,0,0,0.4,215, -1.1, -0.1,0,0,1024,1024,1689,1024,0,0,100,0,216.58,0,0,61,,,,,,,15.308,17.6,18.7452892,2.643,6,P-GPS,
1400,2026-01-27 15:27:15,60.1304597,24.5154961,4.542,4.542,16.1022892,20.6442892,0,0.0788923,0.0156959,0.051192,23,95,14.673,20.6442892,4.542,0.0788923,0.0166151,0,0,0.6,214.9, 0.2, -0.3,0,0,1024,1024,1689,1024,0,0,100,0,216.58,0,0,61,,,,,,,15.308,17.6,20.6442892,4.542,6,P-GPS,
1600,2026-01-27 15:27:16,60.1304596,24.5154958,5.657,5.657,16.1022892,21.7592892,0,0.0801311,0.0276918,0.0711852,23,97,14.673,21.7592892,5.657,0.0801311,0.0276918,0,0,0.6,215, 1, -1.3,0,0,1024,1024,1689,1024,0,0,100,0,216.58,0,0,61,,,,,,,15.308,17.6,21.7592892,5.657,6,P-GPS,
1800,2026-01-27 15:27:16,60.1304596,24.5154958,5.657,5.657,16.1022892,21.7592892,0,0.0801311,0.0276918,0.0711852,23,97,14.673,21.7592892,5.657,0.0801311,0.0276918,0,0,0.6,215, 1, -1.3,0,0,1024,1024,1689,1024,0,0,100,0,216.58,0,0,61,,,,,,,15.308,17.6,21.7592892,5.657,6,P-GPS,
2000,2026-01-27 15:27:16,60.1304595,24.5154954,7.975,7.975,16.1022892,24.0772892,0,0.0331059,0.0510707,0.0959731,23,95,14.535,24.0772892,7.975,0.0801311,0.0510707,0,0,0.6,215, 2.2, -1.3,0,0,1024,1024,1689,1024,0,0,100,0,216.58,0,0,61,,,,,,,21.086,17.6,24.0772892,7.975,6,P-GPS,
